epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9969,1.11221,2.70401,1.11955,0.96792,0.81818,0.89551,0.62113,0.99207,3.38627,1.01291,8.335e-05,8.335e-05,8.335e-05
2,156.726,0.92826,1.66162,0.99078,1,0.87665,0.95214,0.75395,0.82177,2.42568,0.94798,0.000179739,0.000179739,0.000179739
3,235.715,0.99418,1.14507,1.0038,0.9137,1,0.9875,0.70074,1.04274,5.89583,1.04107,0.000272168,0.000272168,0.000272168
4,313.959,0.88784,0.84771,0.97011,0.7672,1,0.92837,0.75062,0.87783,4.70377,0.98981,0.000360635,0.000360635,0.000360635
5,391.822,0.86703,0.80412,0.97078,0.90545,1,0.995,0.71622,1.06579,16.4641,1.09186,0.000445142,0.000445142,0.000445142
6,475.346,0.89616,0.82282,0.9597,0.84531,0.99403,0.89888,0.68909,0.87949,9.1101,1.0021,0.000525688,0.000525688,0.000525688
7,567.582,0.90065,0.76441,1.00514,0.85346,1,0.995,0.77693,0.91174,8.7799,1.04795,0.000602274,0.000602274,0.000602274
8,737.463,0.89122,0.71243,1.00006,0.96116,0.90909,0.98115,0.71566,1.03811,1.23152,1.07511,0.000674898,0.000674898,0.000674898
9,1081.46,0.94706,0.75731,1.00361,0.90459,0.86404,0.92357,0.69013,0.9198,1.19212,1.01537,0.000743562,0.000743562,0.000743562
