epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,176.985,0.8411,0.53184,0.97931,0.96408,0.89485,0.97378,0.71557,0.96089,0.54512,1.1795,0.0011684,0.0011684,0.0011684
44,180.469,0.8255,0.52614,1.00005,0.90378,0.96667,0.95574,0.71785,0.99058,0.58171,1.11762,0.0011486,0.0011486,0.0011486
45,184.189,0.75999,0.5155,0.95688,0.87839,0.96667,0.95272,0.72858,0.98923,0.54079,1.10903,0.0011288,0.0011288,0.0011288
46,189.045,0.77106,0.50698,0.95875,0.87476,0.96667,0.97229,0.73856,0.96356,0.54975,1.10677,0.001109,0.001109,0.001109
47,193.035,0.78055,0.49225,0.94747,0.79832,1,0.90264,0.68202,0.91238,0.72934,1.15693,0.0010892,0.0010892,0.0010892
48,196.63,0.77998,0.50599,0.98348,0.90168,0.96667,0.95297,0.71207,0.94527,0.56392,1.15638,0.0010694,0.0010694,0.0010694
49,200.488,0.78048,0.54213,0.98214,0.79977,0.93333,0.93573,0.70187,0.97742,0.7028,1.1613,0.0010496,0.0010496,0.0010496
50,205.24,0.77675,0.51507,0.95729,0.88217,1,0.96066,0.71929,0.94317,0.56894,1.10871,0.0010298,0.0010298,0.0010298
51,208.832,0.77775,0.49835,0.94982,0.89975,0.96667,0.97311,0.72092,0.94724,0.53978,1.07773,0.00101,0.00101,0.00101
52,212.641,0.78756,0.50849,0.9921,0.92017,0.93333,0.97774,0.73116,0.95403,0.53462,1.08384,0.0009902,0.0009902,0.0009902
53,216.269,0.73532,0.47717,0.96137,0.93078,0.93333,0.97846,0.73674,1.00156,0.56112,1.13046,0.0009704,0.0009704,0.0009704
54,221.385,0.75193,0.46337,0.99357,0.93506,0.96007,0.97681,0.71672,1.04925,0.56335,1.13168,0.0009506,0.0009506,0.0009506
55,225.094,0.74695,0.4688,0.94049,0.90432,0.96667,0.97842,0.73227,1.00369,0.53304,1.10064,0.0009308,0.0009308,0.0009308
56,228.602,0.75075,0.4534,0.96689,0.90364,1,0.98488,0.7048,0.98217,0.4902,1.12821,0.000911,0.000911,0.000911
57,232.779,0.76372,0.47727,0.96521,0.9015,1,0.98688,0.72158,0.98281,0.48447,1.09365,0.0008912,0.0008912,0.0008912
58,237.507,0.723,0.44667,0.93212,0.92687,0.96667,0.97778,0.73589,0.95166,0.534,1.06582,0.0008714,0.0008714,0.0008714
59,241.301,0.74231,0.45672,0.95763,0.96631,0.95638,0.97233,0.72123,0.94192,0.52467,1.09048,0.0008516,0.0008516,0.0008516
60,244.728,0.75348,0.46031,0.9568,0.96679,1,0.98855,0.74067,0.94564,0.47241,1.08055,0.0008318,0.0008318,0.0008318
61,249.155,0.72817,0.47354,0.94947,0.96453,0.96667,0.98546,0.76297,0.8804,0.4575,1.04234,0.000812,0.000812,0.000812
62,253.708,0.72012,0.44921,0.95273,0.95454,0.96667,0.98327,0.76612,0.87088,0.44013,1.06941,0.0007922,0.0007922,0.0007922
63,257.374,0.73948,0.4727,0.95999,0.88132,0.99038,0.94385,0.69585,0.97379,0.5262,1.11219,0.0007724,0.0007724,0.0007724
64,260.74,0.72272,0.44455,0.95911,0.92988,0.93333,0.9603,0.69121,1.0081,0.52702,1.1683,0.0007526,0.0007526,0.0007526
65,265.016,0.72946,0.46937,0.96235,0.96521,0.92509,0.98104,0.70361,1.05298,0.5107,1.1681,0.0007328,0.0007328,0.0007328
66,270.032,0.69,0.43712,0.9322,0.90556,1,0.98368,0.73753,0.92651,0.46027,1.08323,0.000713,0.000713,0.000713
67,273.526,0.66294,0.4445,0.94801,0.85199,0.96667,0.97129,0.71222,1.01165,0.53349,1.09917,0.0006932,0.0006932,0.0006932
68,277.407,0.64334,0.40898,0.91206,0.92554,0.9,0.96533,0.7208,0.90839,0.54589,1.06798,0.0006734,0.0006734,0.0006734
69,282.129,0.70446,0.43262,0.93568,0.9642,0.9,0.95361,0.70238,0.95408,0.57508,1.08337,0.0006536,0.0006536,0.0006536
70,286.438,0.64838,0.43588,0.94189,0.88146,0.99165,0.97455,0.72289,0.93983,0.50044,1.08075,0.0006338,0.0006338,0.0006338
71,289.82,0.65398,0.4321,0.93147,0.93075,0.89614,0.97462,0.74248,0.91869,0.50743,1.11228,0.000614,0.000614,0.000614
72,293.622,0.63747,0.40289,0.92287,0.9333,0.93289,0.97318,0.71692,0.94864,0.52132,1.12144,0.0005942,0.0005942,0.0005942
73,298.532,0.67559,0.42319,0.9345,0.93705,0.99256,0.9653,0.72508,0.91165,0.47458,1.13662,0.0005744,0.0005744,0.0005744
74,302.805,0.695,0.40888,0.94014,0.87182,1,0.98399,0.74368,0.94653,0.44895,1.15091,0.0005546,0.0005546,0.0005546
75,306.089,0.69891,0.43346,0.94568,0.93547,0.96667,0.98712,0.74971,0.92358,0.42518,1.12248,0.0005348,0.0005348,0.0005348
76,309.968,0.63079,0.39278,0.9186,0.96763,0.99648,0.99177,0.75777,0.92148,0.41587,1.1043,0.000515,0.000515,0.000515
77,315.047,0.6135,0.3873,0.92068,0.96141,1,0.99177,0.7458,0.96672,0.42007,1.13143,0.0004952,0.0004952,0.0004952
78,318.705,0.6284,0.40476,0.92453,0.96404,1,0.99081,0.74792,0.94001,0.41023,1.11883,0.0004754,0.0004754,0.0004754
79,321.893,0.59831,0.37684,0.92051,0.9654,1,0.99177,0.75429,0.94222,0.39705,1.10813,0.0004556,0.0004556,0.0004556
80,325.934,0.64682,0.40423,0.93569,0.96535,1,0.99177,0.74365,0.93663,0.41009,1.10116,0.0004358,0.0004358,0.0004358
81,330.933,0.63151,0.3933,0.93319,0.96771,0.99908,0.99081,0.74437,0.92951,0.41832,1.09648,0.000416,0.000416,0.000416
82,334.887,0.63892,0.39161,0.91857,0.96766,0.99754,0.99081,0.74688,0.91036,0.41911,1.08394,0.0003962,0.0003962,0.0003962
83,338.491,0.61742,0.40471,0.92771,0.93704,1,0.98987,0.75127,0.90701,0.40154,1.0896,0.0003764,0.0003764,0.0003764
84,342.551,0.59493,0.38174,0.90979,0.93428,1,0.98642,0.7519,0.92717,0.4089,1.10464,0.0003566,0.0003566,0.0003566
85,347.436,0.61156,0.37044,0.90447,0.93605,1,0.98884,0.73671,0.91884,0.40656,1.09509,0.0003368,0.0003368,0.0003368
86,351.203,0.60258,0.37769,0.91063,0.93391,0.96667,0.98896,0.7325,0.9231,0.42513,1.10897,0.000317,0.000317,0.000317
87,354.623,0.58773,0.36533,0.91237,0.96075,0.96667,0.98435,0.74532,0.9416,0.47351,1.11928,0.0002972,0.0002972,0.0002972
88,358.947,0.5866,0.36488,0.89516,0.96069,0.96667,0.98567,0.7338,0.95513,0.44805,1.10165,0.0002774,0.0002774,0.0002774
89,363.51,0.55636,0.3642,0.88171,0.96322,0.96667,0.98794,0.75903,0.94237,0.42158,1.09886,0.0002576,0.0002576,0.0002576
90,367.212,0.56332,0.36005,0.91736,0.96413,0.96667,0.98879,0.76144,0.92084,0.40617,1.10561,0.0002378,0.0002378,0.0002378
91,372.672,0.56052,0.34532,0.91309,0.96436,0.96667,0.98879,0.74716,0.93284,0.41485,1.11703,0.000218,0.000218,0.000218
92,378.54,0.54278,0.32716,0.88618,0.96435,0.96667,0.98879,0.74319,0.95156,0.41983,1.09803,0.0001982,0.0001982,0.0001982
93,382.089,0.54399,0.32959,0.9062,0.96469,0.96667,0.99079,0.75194,0.93087,0.41079,1.08914,0.0001784,0.0001784,0.0001784
94,385.743,0.52121,0.31655,0.87819,0.96763,0.9966,0.99177,0.75783,0.9059,0.3999,1.08952,0.0001586,0.0001586,0.0001586
95,389.563,0.50403,0.29358,0.87199,0.96767,0.99791,0.99177,0.76208,0.89976,0.3964,1.08319,0.0001388,0.0001388,0.0001388
96,394.266,0.52556,0.31062,0.89024,0.96768,0.99821,0.99081,0.76377,0.92862,0.40024,1.08307,0.000119,0.000119,0.000119
97,398.052,0.50639,0.31454,0.88073,0.96766,0.99748,0.99081,0.76639,0.92274,0.39985,1.08136,9.92e-05,9.92e-05,9.92e-05
98,401.609,0.48877,0.30124,0.87697,0.96765,0.99722,0.99177,0.7622,0.90844,0.40566,1.08383,7.94e-05,7.94e-05,7.94e-05
99,405.259,0.52839,0.31041,0.92105,0.96765,0.99728,0.99177,0.75799,0.90789,0.40363,1.08889,5.96e-05,5.96e-05,5.96e-05
100,410.517,0.48706,0.29564,0.88942,0.96766,0.9975,0.99177,0.75737,0.91792,0.40158,1.09014,3.98e-05,3.98e-05,3.98e-05
